Name,Constituency,Party,Note,Legislature
Claudiu Vasile ,Alba ,PNL ,,2016-2020
Sorin Bumb ,Alba ,PNL ,,2016-2020
Ioan Dîrzu ,Alba ,PSD ,,2016-2020
Varga Glad-Aurel ,Arad ,PNL ,,2016-2020
Pistru-Popa Eusebiu-Manea ,Arad ,PNL ,,2016-2020
Dorel-Gheorghe Căprar ,Arad ,PSD ,,2016-2020
Florin-Dan Tripa ,Arad ,PSD ,,2016-2020
Adrian Tudor ,Arad ,PSD ,,2016-2020
Faragó Péter ,Arad ,UDMR ,,2016-2020
Sergiu Cosmin Vlad ,Arad ,USR ,,2016-2020
Gerea Andrei-Dominic ,Argeș ,ALDE ,,2016-2020
Bica Dănuț ,Argeș ,PNL ,,2016-2020
Radu-Costin Vasilică ,Argeș ,PSD ,,2016-2020
Mircea-Gheorghe Drăghici ,Argeș ,PSD ,,2016-2020
Simona Bucura-Oprescu ,Argeș ,PSD ,,2016-2020
Nicolae Georgescu ,Argeș ,PSD ,,2016-2020
Cătălin-Marian Rădulescu ,Argeș ,PSD ,,2016-2020
Nicolae Velcea ,Argeș ,PSD ,,2016-2020
Liviu Ionuț Moșteanu ,Argeș ,USR ,,2016-2020
Avram Constantin ,Bacău ,ALDE ,,2016-2020
Palăr Ionel ,Bacău ,PNL ,,2016-2020
Lungu Tudorița ,Bacău ,PNL ,,2016-2020
Petru-Gabriel Vlase ,Bacău ,PSD ,,2016-2020
Theodora Șotcan ,Bacău ,PSD ,,2016-2020
Ionel Floroiu ,Bacău ,PSD ,,2016-2020
Lucian Șova ,Bacău ,PSD ,,2016-2020
Claudiu-Augustin Ilișanu ,Bacău ,PSD ,,2016-2020
Costel Neculai Dunava ,Bacău ,PSD ,,2016-2020
Lucian Daniel Stanciu ,Bacău ,USR ,,2016-2020
Ghilea Gavrilă ,Bihor ,PNL ,,2016-2020
Chereches Florica ,Bihor ,PNL ,,2016-2020
Cupsa Ioan ,Bihor ,PNL ,,2016-2020
Gheorghe-Dănuț Bogdan ,Bihor ,PSD ,,2016-2020
Marina-Adelina Coste ,Bihor ,PSD ,,2016-2020
Ioan-Sorin Roman ,Bihor ,PSD ,,2016-2020
Biro Rozalia ,Bihor ,UDMR ,,2016-2020
Szabo Odon ,Bihor ,UDMR ,,2016-2020
Silviu Dehelean ,Bihor ,USR ,,2016-2020
Ionuț Simionca ,Bistrița-Năsăud ,PMP ,,2016-2020
Sighiartău Robert Ionatan ,Bistrița-Năsăud ,PNL ,,2016-2020
Adriana Doina Pană ,Bistrița-Năsăud ,PSD ,,2016-2020
Vasile Daniel Suciu ,Bistrița-Năsăud ,PSD ,,2016-2020
Cristina-Ionela Iurișniți ,Bistrița-Năsăud ,USR ,,2016-2020
Achiței Vasile Cristian ,Botoșani ,PNL ,,2016-2020
Tamara-Dorina Ciofu ,Botoșani ,PSD ,,2016-2020
Mihaela Huncă ,Botoșani ,PSD ,,2016-2020
Marius Constantin Budăi ,Botoșani ,PSD ,,2016-2020
Răzvan-Ilie Rotaru ,Botoșani ,PSD ,,2016-2020
Costel Lupașcu ,Botoșani ,PSD ,,2016-2020
Ioniță Antoneta ,Brăila ,PNL ,,2016-2020
Varga Vasile ,Brăila ,PNL ,,2016-2020
Mihai Tudose ,Brăila ,PSD ,,2016-2020
Nicu Niță ,Brăila ,PSD ,,2016-2020
Marilena Emilia Meiroșu ,Brăila ,PSD ,,2016-2020
Borza Remus-Adrian ,Brașov ,ALDE ,,2016-2020
Mareș Mara ,Brașov ,PNL ,,2016-2020
Andronache Gabriel ,Brașov ,PNL ,,2016-2020
Mihai Valentin Popa ,Brașov ,PSD ,,2016-2020
Viorel Chiriac ,Brașov ,PSD ,,2016-2020
Roxana Mînzatu ,Brașov ,PSD ,,2016-2020
Mihai Mohaci ,Brașov ,PSD ,,2016-2020
Izabell-Agnes Ambrus ,Brașov ,UDMR ,,2016-2020
Tudor Benga ,Brașov ,USR ,,2016-2020
Constantin Daniel ,București ,ALDE ,,2016-2020
Florea Damian ,București ,ALDE ,,2016-2020
Cimpeanu Sorin Mihai ,București ,ALDE ,,2016-2020
Anton Anton ,București ,ALDE ,,2016-2020
Valeriu Steriu ,București ,PMP ,,2016-2020
Eugen Tomac ,București ,PMP ,,2016-2020
Adriana Săftoiu ,București ,PNL ,,2016-2020
Eugen Nicolăescu ,București ,PNL ,,2016-2020
Ovidiu Raețchi ,București ,PNL ,,2016-2020
Gabriel Petrea ,București ,PSD ,,2016-2020
Carmen-Ileana Moldovan ,București ,PSD ,,2016-2020
Georgian Pop ,București ,PSD ,,2016-2020
Oana-Consuela Florea ,București ,PSD ,,2016-2020
Mihăiță Vîrză ,București ,PSD ,,2016-2020
Adriana-Diana Tușa ,București ,PSD ,,2016-2020
Dumitru Chiriță ,București ,PSD ,,2016-2020
Beatrice Tudor ,București ,PSD ,,2016-2020
Liviu Ioan Adrian Pleșoianu ,București ,PSD ,,2016-2020
Mirela Furtună ,București ,PSD ,,2016-2020
Petre-Florin Manole ,București ,PSD ,,2016-2020
Aida-Cristina Căruceru ,București ,PSD ,,2016-2020
Nicușor Dan ,București ,USR ,,2016-2020
Cristian Ghinea ,București ,USR ,,2016-2020
Cristian Gabriel Seidler ,București ,USR ,,2016-2020
Oana Bîzgan ,București ,USR ,,2016-2020
Matei Adrian Dobrovie ,București ,USR ,,2016-2020
Claudiu Iulius Gavril Năsui ,București ,USR ,,2016-2020
Cristina Mădălina Prună ,București ,USR ,,2016-2020
Tudor Rareș Pop ,București ,USR ,,2016-2020
Adrian Mocanu ,Buzău ,PMP ,,2016-2020
Romanescu Cristinel ,Buzău ,PNL ,,2016-2020
Ion Marcel Ciolacu ,Buzău ,PSD ,,2016-2020
Sorin Lazăr ,Buzău ,PSD ,,2016-2020
Ionela Viorela Dobrică ,Buzău ,PSD ,,2016-2020
Nicolae Sebastian Valentin Radu ,Buzău ,PSD ,,2016-2020
Dănuț Păle ,Buzău ,PSD ,,2016-2020
George Sefer ,Călărași ,PMP ,,2016-2020
Predoiu Marian Cătălin ,Călărași ,PNL ,,2016-2020
Eugen Nicolicea ,Călărași ,PSD ,,2016-2020
Iulian Iacomi ,Călărași ,PSD ,,2016-2020
Ion Tăbugan ,Caraș-Severin ,PMP ,,2016-2020
Schelean-Șomfelean Valeria Daria ,Caraș-Severin ,PNL ,,2016-2020
Ion Mocioalcă ,Caraș-Severin ,PSD ,,2016-2020
Ion Spânu ,Caraș-Severin ,PSD ,,2016-2020
